Site,Fish GMM
3,1.442524418
4,2.059936523
5,2.099125364
6,1.731142309
1,1.133390053
2,1.695687302
3,1.59743084
4,1.777777778
5,2.003612864
6,1.83950831
1,1.890492867
2,1.84619516
3,1.540740741
4,1.899913666
5,2.391581633
6,1.808016904
1,1.840042968
2,1.662507289
3,1.260561343
4,2.002730997
5,1.959631589
6,1.658163265
1,1.77818422
2,1.596315893
3,1.19802985
4,1.70852165
5,1.998851941
6,1.896525565
1,1.889644747
2,1.846734183
3,1.777992717
4,1.759260603
5,2.12792132
6,1.795433614
1,1.037037037
2,1.287109375
3,1.602172852
4,1.930113121
5,2.040816327
6,1.886260519
1,1.674148938
2,1.781169062
3,1.529358216
4,1.902230494
5,2.069970845
6,1.76149453
1,1.658487309
2,1.301131214
3,1.71142467
4,1.927083333
5,2.072927566
6,1.568054866
1,1.506072325
2,1.79935308
3,1.582909448
4,2.679684219
5,2.099023
6,1.533102679
1,1.606242582
2,1.386705777
3,1.659259259
4,1.865569273
5,2.12343292
6,1.751609332
1,
2,1.851139875
3,1.86920166
4,1.875
5,2.040816327
6,2.450598187
1,
2,1.899995622
3,1.77424195
4,1.604370148
5,1.92
6,1.729407474
1,
2,1.614021474
3,1.839654145
4,1.799407224
5,1.981885114
6,2.127906977
1,
2,
3,1.898148148
4,1.708529285
5,1.982507289
6,1.676394411
1,
2,
3,1.781924803
4,1.694771253
5,2.062971536
6,1.749271137
1,
2,
3,1.833333333
4,2.77664
5,1.762184843
6,2.659259259
1,
2,
3,1.762277198
4,1.788801266
5,2.049927114
6,1.822423094
1,
2,
3,1.863260706
4,2.635555556
5,2.50061951
6,1.826433979
1,
2,
3,1.328416566
4,2.659259259
5,1.898957445
6,1.822423094
1,
2,
3,1.629715364
4,1.778425656
5,2.111970869
6,1.896525565
1,
2,
3,
4,2.602172852
5,2.001888097
6,1.598129732
1,
2,
3,
4,2.701684282
5,2.00938786
6,1.572703311
1,
2,
3,
4,2.661093964
5,1.982507289
6,1.868448504
1,
2,
3,
4,1.812792591
5,2.174377441
6,1.791166294
1,
2,
3,
4,1.826150475
5,1.913070095
6,1.908202727
1,
2,
3,
4,1.975308642
5,1.928428696
6,1.896296296
1,
2,
3,
4,2.703719178
5,1.953642129
6,1.760894065
1,
2,
3,
4,1.886626335
5,1.947853188
6,1.791166294
1,
2,
3,
4,1.759260603
5,2.133582851
6,1.628332994
1,
2,
3,
4,1.930113121
5,1.929012346
6,1.822423094
1,
2,
3,
4,1.902230494
5,2.159288669
6,1.881676423
1,
2,
3,
4,1.927083333
5,2.199586478
6,1.825413405
1,
2,
3,
4,2.679684219
5,1.98263628
6,1.729407474
1,
2,
3,
4,1.865569273
5,1.966317706
6,2.45093658
1,
2,
3,
4,1.875
5,2.011673293
6,1.748903001
1,
2,
3,
4,1.604370148
5,2.056465399
6,1.955793479
1,
2,
3,
4,1.799407224
5,1.804236179
6,2.693508781
1,
2,
3,
4,1.708529285
5,1.896346714
6,1.994926238
1,
2,
3,
4,1.694771253
5,2.049927114
6,1.822423094
1,
2,
3,
4,2.77664
5,2.086985558
6,2.659845839
1,
2,
3,
4,1.788801266
5,2.06995851
6,2.57161976
1,
2,
3,
4,2.635555556
5,1.97421673
