site,K
Site2,1.991351843
Site2,2.035416243
Site2,2.085048011
Site2,2.054738226
Site2,1.849112426
Site2,2.103681443
Site2,1.959631589
Site2,1.691336258
Site2,1.850237853
Site2,1.865569273
Site2,1.920232135
Site2,1.84619516
Site2,1.907348633
Site2,1.720926466
Site2,1.947599328
Site2,1.997915688
Site2,1.773937724
Site2,1.720116618
Site2,1.661093964
Site2,1.646090535
Site2,1.877664395
Site2,1.875453059
Site2,1.606785504
Site2,2.08
Site2,1.851851852
Site2,1.780989212
Site2,2.086985558
Site2,1.621972318
Site2,1.717382455
Site2,1.655475974
Site2,1.944444444
Site2,1.930113121
Site2,1.714677641
Site2,2.085048011
Site2,1.966317706
Site2,1.999624071
Site2,1.982544794
Site2,1.669588446
Site2,1.813670724
Site2,1.603055246
Site2,1.740897201
Site2,1.741297707
Site2,1.675011379
Site2,1.706666667
Site2,1.676394411
Site2,1.784251252
Site2,1.784251252
Site2,1.764566292
Site2,1.599699257
Site2,1.627604167
Site2,1.69178611
Site2,1.702761929
Site2,1.76226204
Site2,1.695687302
Site2,1.84619516
Site2,1.662507289
Site2,1.959631589
Site2,1.846734183
Site2,1.928710938
Site2,1.781169062
Site2,1.930113121
Site2,1.79935308
Site2,1.938670578
Site2,1.851139875
Site2,1.899995622
Site2,1.614021474
Site2,1.84350391
Site2,1.630092387
Site2,1.704671714
Site2,1.848636831
Site2,1.749271137
Site2,2.069970845
Site2,1.908202727
Site2,1.924198251
Site2,1.452875156
Site2,2.067553107
Site2,1.799407224
Site2,1.84459597
Site2,1.533295512
Site2,1.773127613
Site2,1.717382455
Site2,1.84459597
Site2,2.028175008
Site2,1.59257469
Site2,1.834490741
Site2,1.850828184
Site2,1.690962099
Site2,1.762184843
Site2,1.727927081
Site2,1.665808609
Site2,1.670878136
Site2,1.687885802
Site2,1.653775697
Site2,1.955804184
Site2,1.599008177
Site2,1.653775697
Site2,1.643790581
Site2,1.621972318
Site2,1.898148148
Site2,1.895043732
Site3,1.433970414
Site3,1.638598088
Site3,1.509301068
Site3,1.25775089
Site3,1.635850858
Site3,1.09375
Site3,1.669588446
Site3,1.854380553
Site3,3.429355281
Site3,1.755829904
Site3,1.5625
Site3,1.83003766
Site3,1.408715252
Site3,1.947853188
Site3,1.5625
Site3,1.408715252
Site3,1.509301068
Site3,1.071673525
Site3,1.512790133
Site3,1.849264404
Site3,1.889644747
Site3,2.360120703
Site3,1.562692219
Site3,1.632653061
Site3,1.646090535
Site3,1.646090535
Site3,1.849264404
Site3,1.875
Site3,1.865889213
Site3,1.71802662
Site3,1.727945515
Site3,2
Site3,1.643790581
Site3,2.857796068
Site3,1.430706617
Site3,2.044999732
Site3,1.530965147
Site3,1.97421673
Site3,1.869969146
Site3,1.991351843
Site3,1.348448802
Site3,1.529974755
Site3,1.760851246
Site3,1.40625
Site3,1.714677641
Site3,1.706873009
Site3,1.45093658
Site3,1.992984694
Site3,1.593081475
Site3,1.886626335
Site3,2.379053753
Site3,1.746527492
Site3,1.40625
Site3,1.442524418
Site3,1.959743084
Site3,1.540740741
Site3,2.260561343
Site3,1.19802985
Site3,1.777992717
Site3,1.602172852
Site3,1.529358216
Site3,1.71142467
Site3,1.582909448
Site3,1.659259259
Site3,1.86920166
Site3,1.77424195
Site3,1.839654145
Site3,1.898148148
Site3,1.781924803
Site3,2.083333333
Site3,1.762277198
Site3,1.863260706
Site3,1.993284166
Site3,2.062971536
Site3,1.795993413
Site3,2.12792132
Site3,1.831054688
Site3,1.959104826
Site4,1.632373114
Site4,1.526562182
Site4,1.807009558
Site4,1.676666393
Site4,1.781924803
Site4,1.743050338
Site4,2.277696793
Site4,2.051913409
Site4,2.159593996
Site4,1.871973759
Site4,2.003612864
Site4,2.028175008
Site4,2.110802029
Site4,1.971809485
Site4,1.619695497
Site4,1.95335277
Site4,1.795433614
Site4,1.619931639
Site4,1.712962963
Site4,1.945495605
Site4,2.037037037
Site4,1.632653061
Site4,1.784251252
Site4,1.679238566
Site4,1.99567994
Site4,1.920232135
Site4,1.643790581
Site4,1.816093945
Site4,1.679238566
Site4,1.777992717
Site4,1.926355432
Site4,1.784970548
Site4,1.806318591
Site4,1.896346714
Site4,1.765215015
Site4,1.972072102
Site4,1.795433614
Site4,1.706873009
Site4,1.583101522
Site4,1.682632106
Site4,1.994926238
Site4,2.028175008
Site4,1.638598088
Site4,1.808449074
Site4,1.759259259
Site4,1.685579076
Site4,1.731301939
Site4,1.666666667
Site4,1.809258882
Site4,1.76226204
Site4,1.929904415
Site4,1.924198251
Site4,1.486325803
Site4,1.675011379
Site4,1.442524418
Site4,1.732274225
Site4,1.778425656
Site4,1.778425656
Site4,1.727945515
Site4,1.727927081
Site4,1.929904415
Site4,1.666666667
Site4,2.159908852
Site4,1.733719889
Site4,2.114714447
Site4,1.704371539
Site4,1.920232135
Site4,1.643501127
Site4,1.638598088
Site4,1.746527492
Site4,1.511936196
Site4,1.884644669
Site4,1.841690799
Site4,1.714677641
Site4,1.643790581
Site4,2.022673203
Site4,1.878287002
Site4,1.727927081
Site4,1.6357533
Site4,2.16
Site4,1.898871528
Site4,1.895043732
Site4,1.704334318
Site4,1.857077833
Site4,1.795433614
Site4,2.037037037
Site4,1.972072102
Site4,1.872592593
Site4,1.924861311
Site4,1.982507289
Site4,1.929904415
Site4,1.861931155
Site4,1.795433614
Site4,1.943917967
Site4,1.989293981
Site4,1.926355432
Site4,1.975308642
Site4,1.68
Site4,1.524157903
Site4,1.768261317
Site4,1.71142467
Site4,1.835922524
Site4,1.835922524
Site4,1.119880806
Site4,1.875
Site4,1.803155522
Site4,2.049927114
Site4,1.859355337
Site4,1.707175926
Site4,1.758943222
Site4,1.850818859
Site4,1.857077833
Site4,1.955804184
Site4,1.98263628
Site4,1.983471074
Site4,1.968703958
Site4,1.857077833
Site4,1.742588872
Site4,1.72238852
Site4,1.704334318
Site4,2.139908026
Site4,1.76226204
Site4,1.765215015
Site4,1.795433614
Site4,1.928428696
Site4,1.655475974
Site4,1.792907715
Site4,1.856874545
Site4,1.599699257
Site4,2.261573603
Site4,1.662438531
Site4,1.714677641
Site4,1.720116618
Site4,1.704371539
Site4,1.805555556
Site4,1.6
Site4,1.784970548
Site4,1.678359236
Site4,1.691336258
Site4,1.86920166
Site4,1.765552846
Site4,1.863260706
Site4,1.889920245
Site4,1.439729331
Site4,1.658487309
Site4,1.754670122
Site4,1.805555556
Site4,1.801472766
Site4,1.801547383
Site4,1.431307129
Site4,1.893491124
Site4,1.687885802
Site4,1.857077833
Site4,1.816093945
Site4,1.759259259
Site4,1.719676701
Site4,1.762184843
Site4,1.938488244
Site4,1.675011379
Site4,1.739154632
Site4,1.674231147
Site4,1.851851852
Site4,1.676394411
Site4,1.781924803
Site4,1.6357533
Site4,1.536351166
Site4,1.755829904
Site4,1.784251252
Site4,1.943917967
Site4,1.7225082
Site4,1.525169046
Site4,1.960030456
Site4,1.720116618
Site4,1.799661664
Site4,1.679238566
Site4,1.619695497
Site4,1.637402117
Site4,1.893491124
Site4,1.855182563
Site4,1.983471074
Site4,1.529443449
Site4,1.807449623
Site4,1.872592593
Site4,2.059936523
Site4,1.796875
Site4,1.77734375
Site4,1.839954614
Site4,1.714677641
Site4,1.691336258
Site4,1.991111111
Site4,1.662961073
Site4,1.828682384
Site4,1.72400155
Site4,2.022673203
Site4,1.791163034
Site4,1.838134431
Site4,1.919639108
Site4,1.889644747
Site4,1.84
Site4,1.722987188
Site4,1.968703958
Site4,1.76226204
Site4,1.879099854
Site4,1.759669182
Site4,1.826433979
Site4,1.856874545
Site4,1.638598088
Site4,1.730433506
Site4,2.149425365
Site4,1.947618793
Site4,1.820664543
Site4,1.747995589
Site5,1.820664543
Site5,2.014031083
Site5,1.812792591
Site5,1.801547383
Site5,1.919639108
Site5,2.638598088
Site5,2.334997202
Site5,1.99168
Site5,2.602172852
Site5,2.59594099
Site5,1.850375142
Site5,2.675011379
Site5,1.752117347
Site5,1.826150475
Site5,1.731301939
Site5,1.718205489
Site5,1.71142467
Site5,2.646090535
Site5,1.669588446
Site5,1.992984694
Site5,1.727945515
Site5,1.864538022
Site5,1.821844993
Site5,1.703719178
Site5,1.795433614
Site5,1.754074074
Site5,2.672885317
Site5,2.500033567
Site5,2.640083644
Site5,1.749271137
Site5,2.5234375
Site5,2.203862397
Site5,2.749959074
Site5,2.762184843
Site5,1.831054688
Site5,1.602172852
Site5,1.929012346
Site5,2.634805354
Site5,1.739154632
Site5,2.602172852
Site5,1.952001315
Site5,1.614166945
Site5,1.952001315
Site5,1.682945154
Site5,1.626479791
Site5,2.582909448
Site5,2.275830678
Site5,1.777992717
Site5,1.880747194
Site5,2.14838416
Site5,1.747837961
Site5,2.12962963
Site5,2.015086279
Site5,2.648723393
Site5,1.840721262
Site5,2.593760684
Site5,2.663154436
Site5,1.938488244
Site5,2.537445335
Site5,1.989293981
Site5,1.788154038
Site5,2.00938786
Site5,1.668577066
Site5,1.77424195
Site5,1.777777778
Site5,1.940006106
Site5,2.107877034
Site5,1.825185185
Site5,1.690962099
Site5,1.886217657
Site5,1.916909621
Site5,2.536
Site5,1.69403699
Site5,1.889436201
Site5,1.674231147
Site5,2.158770998
Site5,1.769547325
Site5,1.895043732
Site5,2.059936523
Site5,1.777777778
Site5,1.899913666
Site5,2.002730997
Site5,1.70852165
Site5,1.759260603
Site5,1.930113121
Site5,1.902230494
Site5,1.927083333
Site5,2.679684219
Site5,1.865569273
Site5,1.875
Site5,1.604370148
Site5,1.799407224
Site5,1.708529285
Site5,1.694771253
Site5,2.77664
Site5,1.788801266
Site5,2.635555556
Site5,2.659259259
Site5,1.778425656
Site5,2.602172852
Site5,2.701684282
Site5,2.661093964
Site5,1.812792591
Site5,1.826150475
Site5,1.975308642
Site5,2.703719178
Site5,1.886626335
Site6,1.966317706
Site6,1.92
Site6,1.820664543
Site6,2.014031083
Site6,1.749018021
Site6,1.795433614
Site6,1.978636811
