site,site_number,location,sample,weight,length
lizard,4,upstream,97,0.83,7.8
lizard,4,upstream,98,1.45,9.1
lizard,4,upstream,99,1.21,8.6
lizard,4,upstream,100,2.23,10.5
lizard,4,upstream,101,0.67,6.3
lizard,4,upstream,102,0.59,6.8
lizard,4,upstream,103,0.96,8
lizard,4,upstream,104,1.06,8.7
lizard,4,upstream,105,2.33,10.9
lizard,4,upstream,106,0.43,6.3
lizard,4,upstream,107,1.36,9.3
lizard,4,upstream,108,1.59,8.3
lizard,4,upstream,109,1.1,8.5
lizard,4,upstream,110,0.94,7.1
lizard,4,upstream,111,1.08,7.4
lizard,4,upstream,112,2.24,10.8
lizard,4,upstream,113,1.54,8.4
lizard,4,upstream,114,0.81,6.7
snake,5,upstream,1,0.46,6.1
snake,5,upstream,2,1.25,8.9
snake,5,upstream,3,1.35,8.9
snake,5,upstream,4,1.13,8.7
snake,5,upstream,5,1.63,9.7
snake,5,upstream,6,0.72,7.4
snake,5,upstream,7,0.75,7.3
snake,5,upstream,8,1.21,8.7
snake,5,upstream,9,0.47,6.1
snake,5,upstream,10,1.11,8.3
snake,5,upstream,11,1.07,8.4
snake,5,upstream,12,0.86,8
snake,5,upstream,13,1.88,9
snake,5,upstream,14,0.93,7.3
snake,5,upstream,15,0.53,6.7
snake,5,upstream,16,1.59,10
snake,5,upstream,17,1.2,9.1
snake,5,upstream,18,3.14,10.8
snake,5,upstream,19,0.73,6.6
snake,5,upstream,20,0.89,7.7
snake,5,upstream,21,0.58,6.9
snake,5,upstream,22,0.74,7.6
snake,5,upstream,23,1.22,8.6
snake,5,upstream,24,1.3,8.9
snake,5,upstream,25,1.63,9.5
snake,5,upstream,26,0.43,6.3
snake,5,upstream,27,1.84,10
snake,5,upstream,28,0.62,7
snake,5,upstream,29,1.51,9.7
snake,5,upstream,30,2.39,10.8
snake,5,upstream,31,2.39,11
snake,5,upstream,32,2.18,10.5
snake,5,upstream,33,1.98,10.4
snake,5,upstream,34,1.87,10.6
snake,5,upstream,35,1.49,9.9
snake,5,upstream,36,0.86,7.9
snake,5,upstream,37,1.12,7.7
snake,5,upstream,38,2,10.5
snake,5,upstream,39,1.5,8.9
snake,5,upstream,40,1.55,9.6
snake,5,upstream,41,1.17,8.2
snake,5,upstream,42,1.92,9.6
snake,5,upstream,43,0.71,7
snake,5,upstream,44,0.78,7.2
snake,5,upstream,45,0.95,7.8
snake,5,upstream,46,2.69,10.4
snake,5,upstream,47,0.44,6.1
snake,5,upstream,48,1.36,8.8
snake,5,upstream,49,1.26,8.4
snake,5,upstream,50,1.39,8.8
snake,5,upstream,51,2.13,10.1
snake,5,upstream,52,1.32,8.6
snake,5,upstream,53,0.5,6.2
snake,5,upstream,54,1.26,8.4
snake,5,upstream,55,1.92,9.8
snake,5,upstream,56,2.29,10.6
snake,5,upstream,57,0.94,7.8
snake,5,upstream,58,2.04,10.1
snake,5,upstream,59,0.77,7.2
snake,5,upstream,60,0.63,7.1
snake,5,upstream,61,1.45,8.9
snake,5,upstream,62,2.5,10
snake,5,upstream,63,0.47,6.3
snake,5,upstream,64,0.72,7
snake,5,upstream,65,1.77,9.6
snake,5,upstream,66,1.15,8.3
snake,5,upstream,67,1.18,8.4
snake,5,upstream,68,0.6,6.5
snake,5,upstream,69,2.34,10.7
snake,5,upstream,70,1.71,9.6
snake,5,upstream,71,0.51,6.4
snake,5,upstream,72,1.78,9.7
snake,5,upstream,73,2.2,10.1
snake,5,upstream,74,0.88,7.7
snake,5,upstream,75,1.37,8.6
snake,5,upstream,76,0.63,6.6
snake,5,upstream,77,1.13,8.3
snake,5,upstream,78,1.48,9.1
snake,5,upstream,79,1.19,8.4
snake,5,upstream,80,0.51,6.3
snake,5,upstream,81,0.96,8.1
snake,5,upstream,82,2.52,11
snake,5,upstream,83,0.54,6.4
snake,5,upstream,84,0.57,6.5
snake,5,upstream,85,1.23,8.4
snake,5,upstream,86,0.47,6.2
snake,5,upstream,87,0.91,8
snake,5,upstream,88,1.8,9.4
snake,5,upstream,89,2.16,10.8
snake,5,upstream,90,1.55,9.5
snake,5,upstream,91,0.56,6.5
snake,5,upstream,92,0.52,6.3
snake,5,upstream,93,1.57,9.2
snake,5,upstream,94,2.31,10.4
snake,5,upstream,95,1.51,9
snake,5,upstream,96,1.55,9.4
snake,5,upstream,97,1.76,9.7
snake,5,upstream,98,0.56,6.9
snake,5,upstream,99,1.8,9.4
snake,5,upstream,100,0.95,7.8
snake,5,upstream,101,0.62,7
snake,5,upstream,102,2.08,10.5
snake,5,upstream,103,2.97,10.4
snake,5,upstream,104,0.59,7
snake,5,upstream,105,0.77,7
snake,5,upstream,106,0.95,8.1
snake,5,upstream,107,0.8,7.7
snake,5,upstream,108,1.43,8.2
snake,5,upstream,109,1.19,8.8
snake,5,upstream,110,2.04,10.2
snake,5,upstream,111,0.53,6.8
snake,5,upstream,112,1.09,8.1
snake,5,upstream,113,2.08,10.1
snake,5,upstream,114,1.41,9.2
snake,5,upstream,115,0.79,7.8
snake,5,upstream,116,2.98,10.6
snake,5,upstream,117,0.87,7
snake,5,upstream,118,0.44,6.4
snake,5,upstream,119,1.35,9
snake,5,upstream,120,1.01,7.8
snake,5,upstream,121,1.91,10.3
snake,5,upstream,122,1.07,8.4
snake,5,upstream,123,0.77,7.5
snake,5,upstream,124,0.59,6.7
snake,5,upstream,125,1.09,8.6
turtle,6,upstream,1,1.89,9
turtle,6,upstream,2,0.71,7.4
turtle,6,upstream,3,0.69,7.1
turtle,6,upstream,4,2.12,10.8
turtle,6,upstream,5,2.52,10.7
turtle,6,upstream,6,0.69,7
turtle,6,upstream,7,2.29,10.8
turtle,6,upstream,8,0.89,8.1
turtle,6,upstream,9,2.81,10.4
turtle,6,upstream,10,2.95,10.5
turtle,6,upstream,11,2.22,11
turtle,6,upstream,12,0.81,7.6
turtle,6,upstream,13,1.71,9.3
turtle,6,upstream,14,2.32,11
turtle,6,upstream,15,1.5,9.4
turtle,6,upstream,16,1.88,10.1
turtle,6,upstream,17,0.67,7
turtle,6,upstream,18,1.38,9.3
turtle,6,upstream,19,0.96,7.8
turtle,6,upstream,20,1.34,9.1
turtle,6,upstream,21,0.72,7.2
turtle,6,upstream,22,1.52,9.6
turtle,6,upstream,23,0.79,7.6
turtle,6,upstream,24,2.29,10.9
turtle,6,upstream,25,1.06,8.2
turtle,6,upstream,26,0.77,7.5
turtle,6,upstream,27,0.95,7.7
turtle,6,upstream,28,1.61,9.4
turtle,6,upstream,29,1.37,9.1
turtle,6,upstream,30,1.44,9.5
turtle,6,upstream,31,0.88,7
turtle,6,upstream,32,2.77,10.5
turtle,6,upstream,33,1.42,9.3
turtle,6,upstream,34,0.57,7.1
turtle,6,upstream,35,0.88,8.2
turtle,6,upstream,36,1.53,8.5
turtle,6,upstream,37,2.87,10.4
turtle,6,upstream,38,0.61,6.8
turtle,6,upstream,39,1.02,8.3
turtle,6,upstream,40,0.71,7.5
turtle,6,upstream,41,0.6,6.8
turtle,6,upstream,42,1.43,9.2
turtle,6,upstream,43,0.74,7.3
turtle,6,upstream,44,0.67,7.3
turtle,6,upstream,45,1.73,9.8
turtle,6,upstream,46,0.96,8.1
turtle,6,upstream,47,0.73,7.6
turtle,6,upstream,48,1.68,9.6
turtle,6,upstream,49,0.64,7.1
turtle,6,upstream,50,0.41,6
turtle,6,upstream,51,1.81,10.1
turtle,6,upstream,52,0.34,6
turtle,6,upstream,53,0.91,8.4
turtle,6,upstream,54,1.28,9
turtle,6,upstream,55,3.17,10.9
turtle,6,upstream,56,0.95,8.2
turtle,6,upstream,57,1.66,9.2
turtle,6,upstream,58,0.38,6.1
turtle,6,upstream,59,1.86,10.2
turtle,6,upstream,60,3.35,10.8
turtle,6,upstream,61,0.93,8
turtle,6,upstream,62,2,10.3
turtle,6,upstream,63,0.52,6.6
turtle,6,upstream,64,0.8,7.5
turtle,6,upstream,65,0.82,8
turtle,6,upstream,66,0.84,8.1
turtle,6,upstream,67,2.1,10.4
turtle,6,upstream,68,0.54,6.7
turtle,6,upstream,69,1.53,9.3
turtle,6,upstream,70,1.48,9.2
turtle,6,upstream,71,0.6,7
turtle,6,upstream,72,1.39,9.2
turtle,6,upstream,73,1.78,10.3
turtle,6,upstream,74,0.5,6.5
turtle,6,upstream,75,0.96,8
turtle,6,upstream,76,0.97,8.1
turtle,6,upstream,77,2.06,10.6
turtle,6,upstream,78,1.3,8.1
turtle,6,upstream,79,0.57,6.9
